Wave 	Theakakara-NASA 1973 Integral = 1352.5 W.m-2
nm	W.m-2.nm-1			
115	0.000007
120	0.0009
125	0.000007			
130	0.000007
140	0.00003			
150	0.00007			
160	0.00023			
170	0.00063			
180	0.00125			
190	0.0027			
200	0.0107			
210	0.0229			
220	0.0575			
225	0.0649
230	0.0667			
235	0.0593
240	0.063
245	0.0723			
250	0.0704			
255	0.104
260	0.13
265	0.185			
270	0.232
275	0.204
280	0.222
285	0.315
290	0.315
295	0.584
300	0.514
305	0.603
310	0.689
315	0.764
320	0.83
325	0.975
330	1.059
335	1.081
340	1.074
345	1.069
350	1.093
355	1.083
360	1.068
365	1.132
370	1.181
375	1.157
380	1.12
385	1.098
390	1.098
395	1.189
400	1.429
405	1.644
410	1.751
415	1.774
420	1.747
425	1.693
430	1.639
435	1.663
440	1.81
445	1.922
450	2.006
455	2.057
460	2.066
465	2.048
470	2.033
475	2.044
480	2.074
485	1.976
490	1.95
495	1.960
500	1.942
505	1.920
510	1.882
515	1.882
520	1.833
525	1.852
530	1.842
535	1.818
540	1.783
545	1.754
550	1.725
555	1.720
560	1.695
565	1.705
570	1.712
575	1.719
580	1.715
585	1.712
590	1.7
595	1.682
600	1.666
605	1.647
610	1.635
620	1.602
630	1.57
640	1.544
650	1.511
660	1.486
670	1.456
680	1.427
690	1.402
700	1.369
710	1.344
720	1.314
730	1.29
740	1.26
750	1.235
760	1.211
770	1.185
780	1.159
790	1.134
800	1.109
810	1.085
820	1.060
830	1.036
840	1.013
850	0.990
860	0.968
870	0.947
880	0.926
890	0.908
900	0.891
910	0.880
920	0.869
930	0.858
940	0.847
950	0.837
960	0.820
970	0.803
980	0.785
990	0.767
1000	0.748
1050	0.668
1100	0.593
1150	0.535
1200	0.485
1250	0.483
1300	0.397
1350	0.358
1400	0.337
1450	0.312
1500	0.288
1550	0.287
1600	0.245
1650	0.223
1700	0.202
1750	0.180
1800	0.159
1850	0.142
1900	0.126
1950	0.114
2000	0.103
2100	0.09
2200	0.079
2300	0.069
2400	0.062
2500	0.055
2600	0.048
2700	0.043
2800	0.039
2900	0.035
3000	0.031
3100	0.026
3200	0.0226
3300	0.0192
3400	0.0166
3500	0.0146
3600	0.0135
3700	0.0123
3800	0.0111
3900	0.0103
4000	0.0095
4100	0.0087
4200	0.0078
4300	0.0071
4400	0.0065
4500	0.00592
4600	0.00535
4700	0.00486
4800	0.00447
4900	0.00411
5000	0.00379
6000	0.00182
7000	0.00099
8000	0.000585
9000	0.000367
10000	0.000241
11000	0.000165
12000	0.000117
13000	0.000085
14000	0.0000634
15000	0.0000481
16000	0.0000371
17000	0.0000291
18000	0.0000231
19000	0.0000186
20000	0.0000152
25000	0.00000617
30000	0.00000297
35000	0.0000016
40000	0.000000942
50000	0.000000391
60000	0.00000019
80000	0.0000000616
100000	2.57E-08
120000	1.26E-08
150000	5.23E-09
200000	1.69E-09
250000	7.00E-10
300000	3.40E-10
400000	1.10E-10
